"template_name";"english";"polish";"czech"
"app_pl_dl_full";"The full collection of data in open CSV files";"Pełne kolekcje danych w otwartych plikach CSV";"Celé kolekce dat ve formátu CSV."
"app_pl_dl_hidden_form";"Close panel";"Zamknij panel";"Zavřít panel"
"app_app_tbs_table";"table";"tabela";"tabulka"
"app_app_tbs_share";"share";"udostępnij";"sdílet"
"app_app_tb_save_sheet";"Copy the worksheet";"Kopiuj do arkusza";"Kopírovat list"
"app_app_tb_tl_rename_button";"Change the name";"Zmień nazwę";"Přejmenovat"
"app_app_tb_tl_clear_button";"Clear the table";"Wyczyść tabelę";"Vymazat tabulku"
"app_sort";"Sort";"Sortuj";"Třídit"
"app_filter";"Filter";"Filtruj";"Filtr"
"app_select_column";"Select the column";"Wybierz kolumnę";"Vyberte sloupec"
"app_app_tb_tl_sort_form_order";"Choose the order";"Wybierz porządek";"Vyberte seřazení"
"app_add_key";"Add another key";"Dodaj kolejny klucz";"Přidat další klíč"
"app_app_tb_tl_filter_form_operation";"Choose an operation";"Wybierz operację";"Vyberte operaci"
"app_app_tb_tl_filter_form_content";"Type in the content filter";"Wpisz treść filtra";"Zadejte filtrování obsahu"
"app_app_tb_tl_columns_button";"Add / Remove Columns";"Dodaj/Usuń kolumny";"Přidat / odebrat sloupec"
"app_app_tb_tl_lt_submit";"Add/Remove";"Dodaj/Usuń";"Přidat/odstranit"
"app_app_sh_panel";"Select the worksheets you want to share with others.";"Wybierz arkusze, które chcesz udostępnić innym.";"Vyberte listy, které chcete sdílet s ostatními."
"app_app_sh_submit";"Generate permalink";"Generuj permalink";"Vygenerovat trvalý odkaz (permalink)"
"old_preloader";"Your browser is not able to show the content according to the latest standards.";;
"  Update your browser to see the page.""";"Twoja przeglądarka nie potrafi pokazywać treści zgodnych z najnowszymi standardami.

 Zaktualizuj swoją przeglądarkę, żeby zobaczyć stronę.";"Váš prohlížeš neumí zobrazit obsah dle aktuálních standardů.    Aktualizujte svůj prohlížeš, prosím.";
"old_warning_more_info";"Learn more";"Dowiedz się więcej";"Zjistit více"
"js_save_permalink_preloader";"I record sheets in the database. <br /> It may take a while ...";"Zapisuję arkusze w bazie danych.<br />To może chwilę potrwać...";"Zaznamenávám listy do databáze.<br/> Může to chilku trvat..."
"js_search_not_found";"Unfortunately the search term is not among the data collected here";"Niestety wyszukiwane hasło nie znajduje się wśród zebranych tutaj danych";"Bohužel hledaný výraz není mezi těmito daty."
"js_search_too_many_results";"Too many results - unable to show them";"Zbyt wiele wyników - nie sposób ich wyświetlić";"příliš mnoho výledků – není možné je zobrazit"
"js_search_show_advanced";"Show Advanced";"Pokaż zaawansowane";"Zobrazit pokročilé"
"js_loading_data";"Loading data from database";"Wczytuję dane z bazy danych";"Nahrávání dat z databáze"
"js_selected_header";"ID;Parent;Level;";"ID;Rodzic;Poziom;";"IT;Rodič;Úroveň"
"js_sheet";"Sheet";"Arkusz";"List"
"js_info_panel_header";"This panel contains additional information does not fall within the basic structure of the data.";"Ten panel zawiera informacje dodatkowe nie mieszczące się w podstawowej strukturze danych.";"Tento panel obsahuje doplňující informace, které nezapadají do základní struktury dat."
"js_info_basic_val";"base_value";"wartosc_bazowa";"základní_hodnota"
"js_info_basic_val_label";"The base value";"Wartosc bazowa";"Základní hodnota"
"js_info_cur_val";"current_value";"wartosc_rok_obec";"současná_hodnota"
"js_info_cur_val_label";"The value of the current year";"Wartosc rok obecny";"Hodnota aktuálního roku"
"js_sort_ascending";"Ascending";"Rosnąco";"Rostoucí"
"js_sort_descending";"Descending";"Malejąco";"Klesající"
"js_filter_contain";"Contains";"Zawiera";"Obsahuje"
"js_filter_begin";"Begins with";"Zaczyna się od";"Začíná od"
"js_filter_not_contain";"Does not contain";"Nie zawiera";"Neobsahuje"
"js_filter_not_begin";"Does not begin with";"Nie zaczyna się od";"Nezačíná od"
"js_search_nothing";"Nothing was found";"Nic nie znaleziono";"Nic nenalezeno."
"js_search_title";"The results in collections of data";"Wyniki w kolekcjach danych";"Výsledky v kolekcích dat"
"js_unload_warning";"Leaving the site will result in data loss";"Opuszczenie strony spowoduje utratę danych";"Opuštění stránky znamená ztrátu dat"
"js_choose_panel_text";"Choose one of the available data collection.";"Wybierz jedną z dostępnych kolekcji danych.";"Vyberte jednu z kolekcí dat"
"js_choose_panel_col";"available collections";"Dostępne kolekcje";"Dostupné kolekce"
"js_email_sent";"Email has been sent!";"Email został wysłany!";"Email odeslán!"
"js_search_close_advanced";"Close advanced";"Zamknij zaawansowane";"Zavřít pokročilé"
"js_search_preloader";"Searching";"Szukam";"Hledám"
"js_restore_preloader";"Loading data - this may take a while";"Wczytuję dane - to może chwilę potrwać";"Nahrávám dat – může to chvilku trvat"
"js_choose_panel_see";"View data";"Zobacz dane";"Zobrazit data"
"js_choose_panel_issue";"Select one of the issues of data.";"Wybierz jedno z wydań danych.";"Vyberte jednu z verzí dat."
"up_type";"Type";"Typ";"Typ"
"up_name";"Name";"Nazwa";"Jméno"
"up_parent";"Parent";"Rodzic";"Rodič"
"up_level";"Level";"Poziom";"Úroveň"
